OA11CD,Median16,Mean16,Min16,Max16,Median17,Mean17,Min17,Max17,LSOA11CD
E00004301,"29.55555556","45.11111111","10.56666667","137.3222222","36.65555556","50.65555556","11.01111111","164.4444444",E01000872
E00004380,"30.4","38.53333333","5.1","129.5833333","28.25","42.08333333","6.616666667","133.6666667",E01000891
E00004256,"38.71666667","48.16666667","11.75","142","39.36666667","59.4","11.51666667","175",E01000867
E00004259,"36.26666667","43.8","4.3","150.6666667","42.83333333","62.7","9.833333333","200",E01000867
E00004564,"21.83333333","30.46666667","7.016666667","86.51666667","30.91428571","37.01428571","6.371428571","109.4285714",E01000926
E00004560,"21.95454545","35.57272727","9.872727273","126.7727273","23.41818182","38.5","10.05454545","140.4",E01000918
E00004561,"21.59090909","39.01818182","8.390909091","123.0454545","20.61111111","39.54444444","7.4","128.3777778",E01000918
E00004487,"25.2","31.76666667","2.6","136.9","33.33333333","37.1","4.566666667","136.3333333",E01000912
E00004406,"41.5","58.67","11.71","168.37","54.84","73.48","10.22","193.2",E01000899
E00004407,"35.66666667","48.54166667","6.183333333","133.5333333","48.14166667","57.75833333","5.483333333","142.1333333",E01000899
E00004486,"32.38571429","37.2","4.9","120.1571429","33.75","51.35","6.233333333","158.1666667",E01000912
E00004409,"52.13333333","65.21666667","8.95","184","59.71666667","77.03333333","10.8","208.6666667",E01000895
E00004488,"50","57.575","9.925","176","55.625","79.025","14.925","200",E01000911
E00174662,"18.8","25.4","8.6","50","40","43.3","9.1","100",E01000855
E00174668,"21.275","40.8","4.9","158","29.85","44","4.625","145",E01000898
E00004755,"41.23333333","44.26666667","6.066666667","150","36.7","44.76666667","7.633333333","183.3333333",E01000952
E00174673,"3","3.4","0.8","6.9","2.8","3.1","1.1","6.4",E01000898
E00174677,"24.64444444","32.18888889","3.855555556","74.97777778","30.82222222","37.31111111","3.211111111","89.98888889",E01000963
E00174674,"16.2","28.93333333","4.616666667","110.9833333","30.48571429","43.81428571","9.985714286","149.1142857",E01000920
E00004662,"28.31428571","39.31428571","13.27142857","116","32.525","54.0125","16.75","150.25",E01000942
E00004660,"18.64","31.66","10.66","93.94","33.86666667","47.36666667","13.36666667","110",E01000938
E00004123,"31.78571429","49.98571429","4.4","150","40.31428571","60.11428571","5.5","181.5142857",E01000847
E00004314,"31.66","44.9","7.46","143.7","36.22","50.3","7.2","191",E01000872
E00004395,"40.4","56.325","3.7","175","46.175","63.875","4.15","200",E01000887
E00004394,"45","49.9","6.55","176","47.25","55.45","4.35","200",E01000886
E00004315,"42.4","53.54","7.64","160.8","51.38","63.46","9","180",E01000874
E00004220,"29.5","40.1","8.95","160","55","59.1","11.95","200",E01000857
E00004576,"25.88","43.9","5.72","130.4","34.2","57.08","6.62","190",E01000928
E00004577,"24.38333333","39.23333333","7.433333333","133.3333333","33.31666667","51.43333333","8.433333333","183.3333333",E01000928
E00004578,"30.25","48.35","4.175","188","42.2","59.45","7.15","200",E01000921
E00004579,"33.725","48.55","6.525","163","33.375","52.525","4.625","175",E01000928
E00004826,"29.56666667","43","8.7","159.9333333","41.63333333","55.73333333","8.166666667","233.3333333",E01000970
E00004827,"22.83333333","41.53333333","8.533333333","144","31.5","52.23333333","9.633333333","160",E01000972
E00004824,"41.8","53.85","9.825","151","44.05","66.55","9.475","200",E01000970
E00004823,"49.98","50.82","8.72","140.8","50","59.5","8.66","150",E01000972
E00004820,"51.775","64.4625","8.35","144","49.75","65.2625","11.5375","162.5",E01000969
E00004179,"14.91428571","14.77142857","7.114285714","21.21428571","15.68571429","15.24285714","6.9","21.84285714",E01000853
E00004329,"58.53333333","66.56666667","17.16666667","176","58.93333333","76.45","18.43333333","208.3333333",E01000880
E00004413,"44.9","59.9875","7.4375","163.9625","48.7875","66.8125","7.0125","174.2875",E01000899
E00004492,"32.53","32.75","1.96","77.46","39.81818182","38.90909091","6.045454545","78.71818182",E01000913
E00004490,"39.08333333","40.38333333","6.133333333","115.9","48.18333333","62.25","12.2","180",E01000912
E00004411,"17.6","45.04","4.04","180","31.52","50.16","6.94","160",E01000893
E00004656,"30.66666667","33.1","16.73333333","90.56666667","30.375","34.25","14.325","79.375",E01000940
E00004655,"27.05","44.725","11.675","164","28.175","53.75","11.625","200",E01000936
E00004652,"31.35714286","35.07142857","9.042857143","88.07142857","43.95","48.86666667","11.21666667","120.6166667",E01000943
E00004166,"18.63333333","39.9","4.466666667","166.6666667","18.7","52.4","4.233333333","200",E01000847
E00004726,"22.75714286","37.14285714","10.37142857","109.6714286","30.62857143","46.07142857","9.214285714","136.2571429",E01000955
E00004725,"25.26","40","4.5","140","26.5","44.32","5.86","160",E01000954
E00004722,"29.5","46.6","6.133333333","168","20.86666667","56.9","5.333333333","200",E01000950
E00004723,"19.15","39.95","2.85","150","18.75","46.75","4.75","200",E01000953
E00004728,"44","52.55","9.05","163","45","57.1","16.2","175",E01000956
E00004729,"27.375","38.475","7.75","130.2","27.175","43.9","8.6","155.2",E01000955
E00004672,"33.58","50.58","10.16","170","37.725","56.7","9","200",E01000942
E00004136,"46.66666667","49.83333333","6.866666667","166.6666667","52.83333333","60.83333333","9.8","200",E01000843
E00004232,"35.8","38.03333333","4.966666667","126.6333333","38.53333333","47.6","3.666666667","143.3333333",E01000860
E00004239,"28.66666667","50.33333333","4.833333333","184","39.26666667","60.4","5","184",E01000860
E00004547,"17.34736842","22.01052632","6.742105263","66.48684211","20.37435897","27.95897436","8.505128205","86.89487179",E01000916
E00004542,"18.7","30.19285714","7.45","106.3214286","28.94","39.37333333","6.853333333","131.8666667",E01000916
E00004356,"49.75","62.4","15.85","145.275","61.31111111","69.05555556","19.61111111","164.5333333",E01000880
E00004354,"42.48333333","52.83333333","6.65","162.2833333","42.98333333","59.05","6.833333333","170.45",E01000878
E00004355,"43.89090909","48.86363636","12.44545455","105.4727273","51.38","59.55","19.54","130.98",E01000879
E00004352,"61.22857143","68.84285714","9.128571429","182.8142857","63.8","74.04285714","10.17142857","182.8571429",E01000884
E00004353,"32.73333333","35.36666667","5.1","78.53333333","42.15","39.55","10.425","77.05",E01000878
E00004350,"31.83636364","38.66363636","10.18181818","84.6","43.1","43.44545455","9.936363636","89.69090909",E01000885
E00004351,"49.44","53.62","11.6","119.1","51.98888889","61.63333333","13.86666667","162.9",E01000885
E00004836,"22.55","35.83333333","6","134.9166667","30.24285714","43.45714286","11.01428571","127.4142857",E01000974
E00004837,"36.7","41.8","5.3","153.8","41.58","44.88","5.14","149.1",E01000973
E00004834,"36.2","42.6","1.5","200","41.95","57.2","3","200",E01000974
E00004835,"17.90909091","27.56363636","5.209090909","121.3545455","20.55833333","34.36666667","5.025","123.775",E01000973
E00004275,"50","57.2","6.15","176","55","69.35","4.5","200",E01000869
E00004272,"44.43333333","56.21666667","10.98333333","162.6666667","40.26666667","57.01666667","14.21666667","170.6666667",E01000870
E00004270,"40.25","49.9","8.783333333","142","44.98","56.94","8.9","200",E01000869
E00004271,"34.2","46.35714286","7.328571429","143.3857143","44.54285714","52.65714286","5.357142857","171.4285714",E01000869
E00004146,"50","59.8","7.066666667","184","51.66666667","64.46666667","8.9","233.3333333",E01000843
E00004147,"24.78571429","39.77142857","4.971428571","143.8857143","33.47142857","50.17142857","5.128571429","156.4571429",E01000843
E00004145,"50.625","54.125","4.35","163","57.475","67.95","6.475","187.5",E01000842
E00004142,"39.1","53.825","4.65","188","50","69.75","8.75","188",E01000842
E00004143,"53.725","60.475","7.925","163","56.75","71.9","8","200",E01000844
E00004140,"46.38","53.2","5.78","156.3","45.44","57.92","6.46","165.46",E01000842
E00174649,"9.533333333","15.03333333","3.5","41.76666667","9.733333333","15.73333333","4.3","41.46666667",E01000958
E00004734,"237.5652174","239.173913","223.0173913","250.3956522","24.56666667","29.06666667","4.583333333","89.66666667",E01000953
E00004733,"32.81666667","37.65","11.13333333","106.9833333","46.46666667","51.9","15.18888889","125.5555556",E01000957
E00004730,"35.4","42.05","12","128","31.425","47.45","12.275","147.5",E01000955
E00004644,"34.375","41.95","8.425","126.8125","42.15","55.2125","13.7375","181.25",E01000929
E00004645,"24.96666667","41.9","11.2","133.3333333","24.96666667","44.66666667","5","166.6666667",E01000930
E00004640,"26.3125","38.125","10.6875","116.725","28.2","41.9125","11.425","135",E01000930
E00004181,"14.66","13.68","2.86","22.46","14.96","14.12","2.7","21.62",E01000853
E00004188,"30.63333333","36.33333333","6.466666667","124.9666667","27","43.13333333","6.3","139.9",E01000854
E00004367,"37.775","45.725","3.975","175","48.95","54.925","5","175",E01000892
E00004363,"50","54.7","6.6","200","54.35","63.5","2.7","200",E01000890
E00004286,"25.2","37.93333333","6.466666667","151.6333333","35.76666667","49.8","7.933333333","160",E01000875
E00004207,"31.74","54.84","8.3","170.4","43.16","60.84","9.7","180",E01000856
E00004204,"46.9125","46.3625","6.25","125.1125","43.175","53.325","5.925","143.625",E01000862
E00004285,"36.23333333","45.2","12.16666667","143.9666667","37.41666667","46.46666667","14.66666667","133.3166667",E01000877
E00004205,"29.14285714","40.94285714","6.771428571","147.6714286","31.88571429","47.38571429","5.985714286","157.5857143",E01000863
E00004284,"33.6","37.8","1.9","143.9666667","34.46666667","42.03333333","2.666666667","160",E01000875
E00004202,"14.73333333","27.33333333","9.2","77.96666667","14.6","27.33333333","6.033333333","80",E01000860
E00004283,"39.825","41.925","6.475","131.725","41.125","46.75","7.05","163.75",E01000876
E00004203,"21.67142857","32.11428571","5.257142857","107.3571429","32.14285714","41.05714286","8.442857143","145.6",E01000863
E00004282,"34.3","40.85","7.775","126.725","33.55","47.7","8.3","167.5",E01000875
E00004201,"27.18","41.52","4.34","133.82","36","50.42","4.76","173.38",E01000860
E00004280,"27.58","37.62","6.62","114.34","46.15","55.225","10.975","162.5",E01000865
E00004289,"32.65","45.75","6.3","176","33.3","50.9","5.1","200",E01000875
E00004208,"29.28333333","41.51666667","14.51666667","113.6666667","42.1","57.48333333","14.18333333","158.3333333",E01000858
E00004288,"50","47.55","1.6","226","50","54","2.15","250",E01000876
E00004209,"38.3625","55.65","13.6875","157.25","45.81111111","60.11111111","15.2","164.8888889",E01000858
E00004556,"19.95384615","27.34615385","10.55384615","80.20769231","21.43076923","33.26923077","11.73846154","108.7846154",E01000914
E00004557,"27.54","24.98","5.92","70.52","32.75","37.375","5.7","111.1",E01000917
E00004554,"26.14722222","31.35555556","10.98333333","70.20555556","25.95757576","32.71818182","10.89090909","79.93939394",E01000914
E00004555,"34.1","42.2","6.575","151","42.725","51.925","9.675","162.5",E01000915
E00004552,"41.5","56.75","8.5","188","40.375","59.35","8.875","187.5",E01000915
E00004553,"24.78571429","41.84285714","10.9","139.3428571","29.4375","52.7875","14.2375","146.7375",E01000917
E00004550,"25.65","38.75","9.816666667","121.2","25.76666667","42.4","11.56666667","120.9166667",E01000915
E00004551,"15.468","21.432","6.388","69.864","16.72380952","30.38571429","6.547619048","112.0428571",E01000916
E00004558,"25.33333333","35.05833333","10.125","98.10833333","26.85","37.59166667","12.44166667","97.2",E01000918
E00004559,"21.825","36.08125","9.3625","119.1125","28.26666667","47.49333333","9.673333333","160.48",E01000918
E00004466,"22.23333333","42.56666667","3.4","167.6666667","27.75714286","46.61428571","6.542857143","165",E01000906
E00004467,"43.975","52.45","9.625","139.725","47.225","61.275","10.7","163.75",E01000904
E00004465,"41.62","53.94","8.34","180.8","47.9","62.6","10.5","210.4",E01000904
E00004462,"45.02","55.38","11.2","161.6","55.86","69.94","8.58","200",E01000900
E00004463,"28.88","51.84","8.32","156","50.04","66.22","8.82","176",E01000905
E00004468,"36.44","49.18","5.14","148.8","41.34","57.78","5.98","174.48",E01000905
E00004469,"42.86666667","51.51666667","4.05","175.3333333","54.45","70.33333333","5.083333333","191.6666667",E01000906
E00174652,"18","28","5.55","70.45","26.25","38.3","9.3","123.35",E01000854
E00174653,"18.2","26.17","6.07","78.25","20.46666667","34.03333333","8.45","99.75",E01000854
E00174651,"40.57777778","51.93333333","17.6","110.3888889","63.8875","80.9375","18.35","171.7125",E01000851
E00174656,"32.06666667","38.76666667","11.41666667","75.75","32.125","47.925","7.95","145",E01000869
E00174658,"59","64.86666667","5.833333333","168","61.76666667","73.7","7.866666667","200",E01000869
E00174659,"31.33529412","40.01176471","8.252941176","115.9823529","25.08333333","44.47222222","8.85","141.1666667",E01000855
E00004706,"27.86666667","41.23333333","4.533333333","147","34.21666667","47.48333333","7.05","143.3333333",E01000947
